sub_clause_number_1,sub_clause_number_1_heading,clause_text
1.1.2.3,Parties and Persons,"""Contractor  means the person(s) named as contractor in the Letter of Tender accepted by the Employer and the legal successors in title to this person(s)."
1.1.2.4,Parties and Persons,"""Engineer  means the person appointed by the Employer to act as the Engineer for the purposes of the Contract and named in the Appendix to Tender, or other person appointed from time to time by the Employer and notified to the Contractor under Sub-Clause 3.4 [Replacement of the Engineer]."
1.1.2.5,Parties and Persons,"""Contractor's Representative"" means the person named by the Contractor in the Contract or appointed from time to time by the Contractor under Sub-Clause 4.3 [Contractor's Representative], who acts on behalf of the Contractor."
1.1.2.6,Parties and Persons,"""Employer's Personnel  means the Engineer, the assistants referred to in Sub-Clause 3.2 [Delegation by the Engineer] and all other staff, labour and other employees of the Engineer and of the Employer; and any other personnel notified to the Contractor, by the Employer or the Engineer, as Employer's Personnel."
1.1.2.7,Parties and Persons,"""Contractor's Personnel  means the Contractor's Representative and all personnel whom the Contractor utilises on Site, who may include the staff, labour and other employees of the Contractor and of each Subcontractor; and any other personnel assisting the Contractor in the execution of the Works."
1.1.2.8,Parties and Persons,"""Subcontractor"" means any person named in the Contract as a subcontractor, or any person appointed as a subcontractor, for a part of the Works; and the legal successors in title to each of these persons."
1.1.2.9,Parties and Persons,"""DAB  means the person or three persons so named in the Contract, or other person(s) appointed under Sub-Clause 20.2 [Appointment of the Dispute Adjudication Board] or Sub-Clause 20.3 [Failure to Agree Dispute Adjudication Board]."
1.1.2.10,Parties and Persons,"""FIDIC  means the F d ration Internationale des Ing nieurs-Conseils, the international federation of consulting engineers."
1.1.3.1,"Dates, Tests, Periods and Completion",Base Date  means the date 28 days prior to the latest date for submission of the Tender.
1.1.3.2,"Dates, Tests, Periods and Completion","""Commencement Date  means the date notified under Sub-Clause 8.1 [Commencement of Works]."
1.1.3.3,"Dates, Tests, Periods and Completion","""Time for Completion  means the time for completing the Works or a Section (as the case may be) under Sub-Clause 8.2 [Time for Completion], as stated in the Appendix to Tender (with any extension under Sub-Clause 8.4 [Extension of Time for Completion]), calculated from the Commencement
Date."
1.1.3.4,"Dates, Tests, Periods and Completion","""Tests on Completion"" means the tests which are specified in the Contract or agreed by both Parties or instructed as a Variation, and which are carried out under Clause 9 [Tests on Completion] before the Works or a Section (as the case may be) are taken over by the Employer."
1.1.3.5,"Dates, Tests, Periods and Completion","""Taking-Over Certificate  means a certificate issued under Clause 10 [Employer's Taking Over]."
1.1.3.6,"Dates, Tests, Periods and Completion","""Tests after Completion  means the tests (if any) which are specified in the Contract and which are carried out under Clause 12 [Tests after Completion] after the Works or a Section (as the case may be) are taken over by the Employer."
1.1.3.7,"Dates, Tests, Periods and Completion","""Defects Notification Period  means the period for notifying defects in the Works or a Section (as the case may be) under Sub-Clause 11.1 [Completion of Outstanding Work and Remedying Defects], as stated in the Appendix to Tender (with any extension under Sub-Clause 11.3 [Extension of Defects Notification Period]), calculated from the date on which the Works or Section is completed as certified under Sub-Clause 10.1 [Taking Over of the Works and Sections]."
1.1.3.8,"Dates, Tests, Periods and Completion","""Performance Certificate"" means the certificate issued under Sub-Clause 11.9 [Performance Certificate]."
1.1.3.9,"Dates, Tests, Periods and Completion","""day"" means a calendar day and ""year"" means 365 days."
1.1.4.1,Money and Payments,"""Accepted Contract Amount"" means the amount accepted in the Letter of Acceptance for the execution and completion of the Works and the remedying of any defects."
1.1.4.2,Money and Payments,"""Contract Price"" means the price defined in Sub-Clause 14.1 [The Contract Price], and includes adjustments in accordance with the Contract."
1.1.4.3,Money and Payments,"""Cost  means all expenditure reasonably incurred (or to be incurred) by the Contractor, whether on or off the Site, including overhead and similar charges, but does not include profit."
1.1.4.4,Money and Payments, Final Payment Certificate  means the payment certificate issued under Sub-Clause 14.13 [Issue of Final Payment Certificate].
1.1.4.5,Money and Payments, Final Statement  means the statement defined in Sub-Clause 14.11 [Application for Final Payment Certificate].
1.1.4.6,Money and Payments," Foreign Currency  means a currency in which part (or all) of the Contract Price is payable, but not the Local Currency."
1.1.4.7,Money and Payments," Interim Payment Certificate  means a payment certificate issued under Clause 14 [Contract Price and Payment], other than the Final Payment Certificate."
1.1.4.8,Money and Payments, Local Currency  means the currency of the Country.
1.1.4.9,Money and Payments, Payment Certificate  means a payment certificate issued under Clause 14 [Contract Price and Payment].
1.1.4.10,Money and Payments," Provisional Sum  means a sum (if any) which is specified in the Contract as a provisional sum, for the execution of any part of the Works or for the supply of Plant, Materials or services under Sub-Clause 13.5 [Provisional Sums]."
1.1.4.11,Money and Payments, Retention Money  means the accumulated retention moneys which the Employer retains under Sub-Clause 14.3 [Application for Interim Payment Certificates] and pays under Sub-Clause 14.9 [Payment of Retention Money].
1.1.4.12,Money and Payments," Statement  means a statement submitted by the Contractor as part of an application, under Clause 14 [Contract Price and Payment], for a payment certificate."
1.1.5.1,Works and Goods," Contractor s Equipment  means all apparatus, machinery, vehicles and other things required for the execution and completion of the Works and the remedying of any defects. However, Contractor s Equipment excludes Temporary Works, Employer s Equipment (if any), Plant, Materials and any other things intended to form or forming part of the Permanent Works."
1.1.5.2,Works and Goods," Goods  means Contractor s Equipment, Materials, Plant and Temporary Works, or any of them as appropriate."
1.1.5.3,Works and Goods," Materials  means things of all kinds (other than Plant) intended to form or forming part of the Permanent Works, including the supply-only materials (if any) to be supplied by the Contractor under the Contract."
1.1.5.4,Works and Goods, Permanent Works  means the permanent works to be executed by the Contractor under the Contract.
1.1.5.5,Works and Goods," Plant  means the apparatus, machinery and vehicles intended to form or forming part of the Permanent Works."
1.1.5.6,Works and Goods, Section  means a part of the Works specified in the Appendix to Tender as a Section (if any).
1.1.5.7,Works and Goods, Temporary Works  means all temporary works of every kind (other than Contractor s Equipment) required on Site for the execution and completion of the Permanent Works and the remedying of any defects.
1.1.5.8,Works and Goods," Works  mean the Permanent Works and the Temporary Works, or either of them as appropriate."
1.1.6.1,Other Definitions," Contractor s Documents  means the calculations, computer programs and other software, drawings, manuals, models and other documents of a technical nature (if any) supplied by the Contractor under the Contract; as described in Sub-Clause 5.2 [Contractor s Documents]."
1.1.6.2,Other Definitions," Country  means the country in which the Site (or most of it) is located, where the Permanent Works are to be executed."
1.1.6.3,Other Definitions," Employer s Equipment  means the apparatus, machinery and vehicles (if any) made available by the Employer for the use of the Contractor in the execution of the Works, as stated in the Employer s Requirements; but does not include Plant which has not been taken over by the Employer."
1.1.6.4,Other Definitions, Force Majeure  is defined in Clause 19 [Force Majeure].
1.1.6.5,Other Definitions," Laws  means all national (or state) legislation, statutes, ordinances and other laws, and regulations and by-laws of any legally constituted public authority."
1.1.6.6,Other Definitions," Performance Security  means the security (or securities, if any) under Sub-Clause 4.2 [Performance Security]."
1.1.6.7,Other Definitions," Site  means the places where the Permanent Works are to be executed and to which Plant and Materials are to be delivered, and any other places as may be specified in the Contract as forming part of the Site."
1.1.6.8,Other Definitions, Unforeseeable  means not reasonably foreseeable by an experienced contractor by the date for submission of the Tender.
1.1.6.9,Other Definitions," Variation  means any change to the Employer s Requirements or the Works, which is instructed or approved as a variation under Clause 13 [Variations and Adjustments]."
1.2,Interpretation,"In the Contract, except where the context requires otherwise:
(a) words indicating one gender include all genders;
(b) words indicating the singular also include the plural and words indicating the plural also include the singular;
(c) provisions including the word ""agree"", ""agreed"" or ""agreement"" require the agreement to be recorded in writing, and
(d) ""written"" or ""in writing"" means hand-written, type-written, printed or electronically made, and resulting in a permanent record. The marginal words and other headings shall not be taken into consideration in the interpretation of these Conditions."
1.3,Communications,"Wherever these Conditions provide for the giving or issuing of approvals, certificates,
consents, determinations, notices and requests, these communications shall be:
(a) in writing and delivered by hand (against receipt), sent by mail or courier, or transmitted using any of the agreed systems of electronic transmission as stated in the Appendix to Tender; and
(b) delivered, sent or transmitted to the address for the recipient's communications as stated in the Appendix to Tender. However:
(i) if the recipient gives notice of another address, communications shall thereafter be delivered accordingly; and
(ii) if the recipient has not stated otherwise when requesting an approval or consent, it may be sent to the address from which the request was issued. Approvals, certificates, consents and determinations shall not be unreasonably withheld or delayed. When a certificate is issued to a Party, the certifier shall send a copy to the other Party. When a notice is issued to a Party, by the other Party or the Engineer, a copy shall be sent to the Engineer or the other Party, as the case may be."
1.4,Law and Language,"The Contract shall be governed by the law of the country (or other jurisdiction) stated in the Appendix to Tender.
If there are versions of any part of the Contract which are written in more than one language, the version which is in the ruling language stated in the Appendix to Tender shall prevail. The language for communications shall be that stated in the Appendix to Tender. If no language is stated there, the language for communications shall be the language in which the Contract (or most of it) is written."
1.5,Priority of Documents,"The documents forming the Contract are to be taken as mutually explanatory of one another. For the purposes of interpretation, the priority of the documents shall be in accordance with the following sequence:
(a) the Contract Agreement (if any),
(b) the Letter of Acceptance,
(c) the Letter of Tender,
(d) the Particular Conditions,
(e) these General Conditions,
(f) the Employer's Requirements,
(g) the Schedules, and
(h) the Contractor's Proposal and any other documents forming part of the Contract.
If an ambiguity or discrepancy is found in the documents, the Engineer shall issue any necessary clarification or instruction."
1.6,Contract Agreement,"The Parties shall enter into a Contract Agreement within 28 days after the Contractor receives the Letter of Acceptance, unless they agree otherwise. The Contract Agreement shall be based upon the form annexed to the Particular Conditions. The costs of stamp duties and similar charges (if any) imposed by law in connection with entry into the Contract Agreement shall be borne by the Employer."
1.7,Assignment,"Neither Party shall assign the whole or any part of the Contract or any benefit or interest in or under the Contract. However, either Party:
(a) may assign the whole or any part with the prior agreement of the other Party, at the sole discretion of such other Party, and
(b) may, as security in favour of a bank or financial institution, assign its right to any moneys due, or to become due, under the Contract."
1.8,"Care and Supply of
Documents","Each of the Contractor's Documents shall be in the custody and care of the Contractor, unless and until taken over by the Employer. Unless otherwise stated in the Contract, the Contractor shall supply to the Engineer six copies of each of the Contractor's Documents.
The Contractor shall keep, on the Site, a copy of the Contract, publications named in the Employer's Requirements, the Contractor's Documents, and Variations and other communications given under the Contract. The Employer's Personnel shall have the right of access to all these documents at all reasonable times.
If a Party becomes aware of an error or defect of a technical nature in a document which was prepared for use in executing the Works, the Party shall promptly give notice to the other Party of such error or defect."
1.9,Errors in the Employer's Requirements,"If a Party becomes aware of an error or defect of a technical nature in a document which was prepared for use in executing the Works, the Party shall promptly give notice to the other Party of such error or defect.
If the Contractor suffers delay and/or incurs Cost as a result of an error in the Employer's Requirements, and an experienced contractor exercising due care would not have discovered the error when scrutinising the Employer's Requirements under Sub-Clause 5.1 [General Design Obligations], the Contractor shall give notice to the Engineer and shall be entitled subject to Sub-Clause 20.1 [Contractor's Claims] to:
(a) an extension of time for any such delay, if completion is or will be delayed, under Sub-Clause 8.4 [Extension of Time for Completion], and
(b) payment of any such Cost plus reasonable profit, which shall be included in the Contract Price.
After receiving this notice, the Engineer shall proceed in accordance with Sub-Clause 3.5 [Determinations] to agree or determine (i) whether and (if so) to what extent the error could not reasonably have been so discovered, and (ii) the matters described in sub-paragraphs (a) and (b) above related to this extent."
1.10,Employer s Use of Contractor s Documents,"As between the Parties, the Contractor shall retain the copyright and other intellectual property rights in the Contractor's Documents and other design documents made by (or on behalf of) the Contractor.
The Contractor shall be deemed (by signing the Contract) to give to the Employer a non-terminable transferable non-exclusive royalty-free licence to copy, use and communicate the Contractor's Documents, including making and using modifications of them. This licence shall:
(a) apply throughout the actual or intended working life (whichever is longer) of the relevant parts of the Works,
(b) entitle any person in proper possession of the relevant part of the Works to copy, use and communicate the Contractor's Documents for the purposes of completing, operating, maintaining, altering, adjusting, repairing and demolishing the Works, and
(c) in the case of Contractor's Documents which are in the form of computer programs and other software, permit their use on any computer on the Site and other places as envisaged by the Contract, including replacements of any
computers supplied by the Contractor.
The Contractor's Documents and other design documents made by (or on behalf of) the Contractor shall not, without the Contractor's consent, be used, copied or communicated to a third party by (or on behalf of) the Employer for purposes other than those permitted under this Sub-Clause."
1.11,Contractor s Use of Employer s Documents,"As between the Parties, the Employer shall retain the copyright and other intellectual property rights in the Employer's Requirements and other documents made by (or on behalf of) the Employer. The Contractor may, at his cost, copy, use, and obtain communication of these documents for the purposes of the Contract. They shall not, without the Employer's consent, be copied, used or communicated to a third party by the Contractor, except as necessary for the purposes of the Contract."
1.12,Confidential Details,The Contractor shall disclose all such confidential and other information as the Engineer may reasonably require in order to verify the Contractor's compliance with the Contract.
1.13,Compliance with Laws,"The Contractor shall, in performing the Contract, comply with applicable Laws. Unless otherwise stated in the Particular Conditions:
(a) the Employer shall have obtained (or shall obtain) the planning, zoning or similar permission for the Permanent Works, and any other permissions described in the Employer's Requirements as having been (or being) obtained by the Employer; and the Employer shall indemnify and hold the Contractor harmless against and from the consequences of any failure to do so; and
(b) the Contractor shall give all notices, pay all taxes, duties and fees, and obtain all permits, licences and approvals, as required by the Laws in relation to the design, execution and completion of the Works and the remedying of any defects; and the Contractor shall indemnify and hold the Employer harmless against and from the consequences of any failure to do so."
1.14,Joint Several Liability,"If the Contractor constitutes (under applicable Laws) a joint venture, consortium or other unincorporated grouping of two or more persons:
(a) these persons shall be deemed to be jointly and severally liable to the Employer for the performance of the Contract;
(b) these persons shall notify the Employer of their leader who shall have authority to bind the Contractor and each of these persons; and
(c) the Contractor shall not alter its composition or legal status without the prior consent of the Employer."
2.1,Right of Access to the Site,"The Employer shall give the Contractor right of access to, and possession of, all parts of the Site within the time (or times) stated in the Appendix to Tender. The right and possession may not be exclusive to the Contractor. If, under the Contract, the Employer is required to give (to the Contractor) possession of any foundation, structure, plant or means of access, the Employer shall do so in the time and manner stated in the Employer's Requirements. However, the Employer may withhold any such right or possession until the Performance Security has been received.
If no such time is stated in the Appendix to Tender, the Employer shall give the Contractor right of access to, and possession of, the Site within such times as may be required to enable the Contractor to proceed in accordance with the programme submitted under Sub-Clause 8.3 [Programme].
If the Contractor suffers delay and/or incurs Cost as a result of a failure by the Employer to give any such right or possession within such time, the Contractor shall give notice to the Engineer and shall be entitled subject to Sub-Clause 20.1 [Contractor's Claims] to:
(a) an extension of time for any such delay, if completion is or will be delayed, under Sub-Clause 8.4 [Extension of Time for Completion], and
(b) payment of any such Cost plus reasonable profit, which shall be included in the Contract Price. After receiving this notice, the Engineer shall proceed in accordance with Sub-Clause 3.5 [Determinations] to agree or determine these matters.
However, if and to the extent that the Employer's failure was caused by any error or delay by the Contractor, including an error in, or delay in the submission of, any of the Contractor's Documents, the Contractor shall not be entitled to such extension of time, Cost or profit."
2.2,"Permits, Licences or Approvals","The Employer shall (where he is in a position to do so) provide reasonable assistance to the Contractor at the request of the Contractor:
(a) by obtaining copies of the Laws of the Country which are relevant to the Contract but are not readily available, and
(b) for the Contractor's applications for any permits, licences or approvals required by the Laws of the Country:
(i) which the Contractor is required to obtain under Sub-Clause 1.13 [Compliance with Laws],
(ii) for the delivery of Goods, including clearance through customs, and
(iii) for the export of Contractor's Equipment when it is removed from the Site."
2.3,Employer s Personnel,"The Employer shall be responsible for ensuring that the Employer's Personnel and the Employer's other contractors on the Site:
(a) co-operate with the Contractor's efforts under Sub-Clause 4.6 [Co-operation], and
(b) take actions similar to those which the Contractor is required to take under subparagraphs (a), (b) and (c) of Sub-Clause 4.8 [Safety Procedures] and under Sub-Clause 4.18 [Protection of the Environment]."
2.4,Employer s Financial Arrangements,"The Employer shall submit, within 28 days after receiving any request from the Contractor, reasonable evidence that financial arrangements have been made and are being maintained which will enable the Employer to pay the Contract Price (as estimated at that time) in accordance with Clause 14 [Contract Price and Payment]. If the Employer intends to make any material change to his financial arrangements, the Employer shall give notice to the Contractor with detailed particulars."
2.5,Employer s Claims,"If the Employer considers himself to be entitled to any payment under any Clause of these Conditions or otherwise in connection with the Contract, and/or to any extension of the Defects Notification Period, the Employer or the Engineer shall give notice and particulars to the Contractor. However, notice is not required for payments due under Sub-Clause 4.19 [Electricity, Water and Gas], under Sub-Clause 4.20 [Employer's Equipment and Free-Issue Material], or for other services requested by
the Contractor.
The notice shall be given as soon as practicable after the Employer became aware of the event or circumstances giving rise to the claim. A notice relating to any extension of the Defects Notification Period shall be given before the expiry of such period. The particulars shall specify the Clause or other basis of the claim, and shall include substantiation of the amount and/or extension to which the Employer considers himself to be entitled in connection with the Contract. The Engineer shall then proceed in accordance with Sub-Clause 3.5 [Determinations] to agree or determine (i) the amount (if any) which the Employer is entitled to be paid by the Contractor, and/or (ii) the extension (if any) of the Defects Notification Period in accordance with Sub-Clause 11.3 [Extension of Defects Notification Period]. 
This amount may be included as a deduction in the Contract Price and Payment Certificates. The Employer shall only be entitled to set off against or make any deduction from an amount certified in a Payment Certificate, or to otherwise claim against the Contractor, in accordance with this Sub-Clause."
3.1,Engineer s Duties and Authority,"The Employer shall appoint the Engineer who shall carry out the duties assigned to him in the Contract. The Engineer's staff shall include suitably qualified engineers and other professionals who are competent to carry out these duties. The Engineer shall have no authority to amend the Contract.
The Engineer may exercise the authority attributable to the Engineer as specified in or necessarily to be implied from the Contract. If the Engineer is required to obtain the approval of the Employer before exercising a specified authority, the requirements shall be as stated in the Particular Conditions. The Employer undertakes not to impose further constraints on the Engineer's authority, except as agreed with the Contractor.
However, whenever the Engineer exercises a specified authority for which the Employer's approval is required, then (for the purposes of the Contract) the Employer shall be deemed to have given approval.
Except as otherwise stated in these Conditions:
(a) whenever carrying out duties or exercising authority, specified in or implied by the Contract, the Engineer shall be deemed to act for the Employer;
(b) the Engineer has no authority to relieve either Party of any duties, obligations or responsibilities under the Contract; and
(c) any approval, check, certificate, consent, examination, inspection, instruction, notice, proposal, request, test, or similar act by the Engineer (including absence of disapproval) shall not relieve the Contractor from any responsibility he has under the Contract, including responsibility for errors, omissions, discrepancies and non-compliances."
3.2,Delegation by the Engineer,"The Engineer may from time to time assign duties and delegate authority to assistants, and may also revoke such assignment or delegation. These assistants may include a resident engineer, and/or independent inspectors appointed to inspect and/or test items of Plant and/or Materials. The assignment, delegation or revocation shall be in writing and shall not take effect until copies have been received by both Parties. However, unless otherwise agreed by both Parties, the Engineer shall not delegate the authority to determine any matter in accordance with Sub-Clause 3.5 [Determinations].
Assistants shall be suitably qualified persons, who are competent to carry out these duties and exercise this authority, and who are fluent in the language for communications defined in Sub-Clause 1.4 [Law and Language].
Each assistant, to whom duties have been assigned or authority has been delegated, shall only be authorised to issue instructions to the Contractor to the extent defined by the delegation. Any approval, check, certificate, consent, examination, inspection, instruction, notice, proposal, request, test, or similar act by an assistant, in accordance with the delegation, shall have the same effect as though the act had been an act of the Engineer. However:
(a) any failure to disapprove any work, Plant or Materials shall not constitute approval, and shall therefore not prejudice the right of the Engineer to reject the work, Plant or Materials;
(b) if the Contractor questions any determination or instruction of an assistant, the Contractor may refer the matter to the Engineer, who shall promptly confirm, reverse or vary the determination or instruction."
3.3,Instructions of the Engineer,"The Engineer may issue to the Contractor (at any time) instructions which may be necessary for the execution of the Works and the remedying of any defects, all in accordance with the Contract. The Contractor shall only take instructions from the Engineer, or from an assistant to whom the appropriate authority has been delegated under this Clause. If an instruction constitutes a Variation, Clause 13 [Variations and Adjustments] shall apply.
The Contractor shall comply with the instructions given by the Engineer or delegated assistant, on any matter related to the Contract. These instructions shall be given in writing."
3.4,Replacement of the Engineer,"If the Employer intends to replace the Engineer, the Employer shall, not less than 42 days before the intended date of replacement, give notice to the Contractor of the name, address and relevant experience of the intended replacement Engineer. The Employer shall not replace the Engineer with a person against whom the Contractor raises reasonable objection by notice to the Employer, with supporting particulars."
3.5,Determinations,"Whenever these Conditions provide that the Engineer shall proceed in accordance with this Sub-Clause 3.5 to agree or determine any matter, the Engineer shall consult with each Party in an endeavour to reach agreement. If agreement is not achieved, the Engineer shall make a fair determination in accordance with the Contract, taking due regard of all relevant circumstances.
The Engineer shall give notice to both Parties of each agreement or determination, with supporting particulars. Each Party shall give effect to each agreement or determination unless and until revised under Clause 20 [Claims, Disputes and Arbitration]."
4.1,Contractor s General Obligations,"The Contractor shall design, execute and complete the Works in accordance with the Contract, and shall remedy any defects in the Works. When completed, the Works shall be fit for the purposes for which the Works are intended as defined in the Contract. 
The Contractor shall provide the Plant and Contractor's Documents specified in the Contract, and all Contractor's Personnel, Goods, consumables and other things and services, whether of a temporary or permanent nature, required in and for this design, execution, completion and remedying of defects.
The Works shall include any work which is necessary to satisfy the Employer's Requirements, Contractor's Proposal and Schedules, or is implied by the Contract, and all works which (although not mentioned in the Contract) are necessary for stability or for the completion, or safe and proper operation, of the Works.
The Contractor shall be responsible for the adequacy, stability and safety of all Site operations, of all methods of construction and of all the Works.
The Contractor shall, whenever required by the Engineer, submit details of the arrangements and methods which the Contractor proposes to adopt for the execution of the Works. No significant alteration to these arrangements and methods shall be made without this having previously been notified to the Engineer"
4.2,Performance Security,"The Contractor shall obtain (at his cost) a Performance Security for proper performance, in the amount and currencies stated in the Appendix to Tender. If an amount is not stated in the Appendix to Tender, this Sub-Clause shall not apply.
The Contractor shall deliver the Performance Security to the Employer within 28 days after receiving the Letter of Acceptance, and shall send a copy to the Engineer. The Performance Security shall be issued by an entity and from within a country (or other jurisdiction) approved by the Employer, and shall be in the form annexed to the Particular Conditions or in another form approved by the Employer.
The Contractor shall ensure that the Performance Security is valid and enforceable until the Contractor has executed and completed the Works and remedied any defects. If the terms of the Performance Security specify its expiry date, and the Contractor has not become entitled to receive the Performance Certificate by the date 28 days prior to the expiry date, the Contractor shall extend the validity of the Performance Security until the Works have been completed and any defects have been remedied.
The Employer shall not make a claim under the Performance Security, except for amounts to which the Employer is entitled under the Contract in the event of:
(a) failure by the Contractor to extend the validity of the Performance Security as described in the preceding paragraph, in which event the Employer may claim the full amount of the Performance Security,
(b) failure by the Contractor to pay the Employer an amount due, as either agreed by the Contractor or determined under Sub-Clause 2.5 [Employer's Claims] or Clause 20 [Claims, Disputes and Arbitration], within 42 days after this agreement or determination,
(c) failure by the Contractor to remedy a default within 42 days after receiving the Employer's notice requiring the default to be remedied, or
(d) circumstances which entitle the Employer to termination under Sub-Clause 15.2 [Termination by Employer], irrespective of whether notice of termination has been given.
The Employer shall indemnify and hold the Contractor harmless against and from all damages, losses and expenses (including legal fees and expenses) resulting from a claim under the Performance Security to the extent to which the Employer was not entitled to make the claim.
The Employer shall return the Performance Security to the Contractor within 21 days after receiving a copy of the Performance Certificate. "
4.3,Contractor s Representative,"The Contractor shall appoint the Contractor's Representative and shall give him all authority necessary to act on the Contractor's behalf under the Contract. 
Unless the Contractor's Representative is named in the Contract, the Contractor shall, prior to the Commencement Date, submit to the Engineer for consent the name and particulars of the person the Contractor proposes to appoint as Contractor's Representative. If consent is withheld or subsequently revoked, or if the appointed person fails to act as Contractor's Representative, the Contractor shall similarly submit the name and particulars of another suitable person for such appointment.
The Contractor shall not, without the prior consent of the Engineer, revoke the appointment of the Contractor's Representative or appoint a replacement.
The whole time of the Contractor's Representative shall be given to directing the Contractor's performance of the Contract. If the Contractor's Representative is to be temporarily absent from the Site during the execution of the Works, a suitable replacement person shall be appointed, subject to the Engineer's prior consent, and the Engineer shall be notified accordingly.
The Contractor's Representative shall, on behalf of the Contractor, receive instructions under Sub-Clause 3.3 [Instructions of the Engineer]. 
The Contractor's Representative may delegate any powers, functions and authority to any competent person, and may at any time revoke the delegation. Any delegation or revocation shall not take effect until the Engineer has received prior notice signed by the Contractor's Representative, naming the person and specifying the powers, functions and authority being delegated or revoked.
The Contractor's Representative and all these persons shall be fluent in the language for communications defined in Sub-Clause 1.4 [Law and Language]. "
4.4,Subcontractors,"The Contractor shall not subcontract the whole of the Works.
The Contractor shall be responsible for the acts or defaults of any Subcontractor, his agents or employees, as if they were the acts or defaults of the Contractor. Unless otherwise stated in the Particular Conditions:
(a) the Contractor shall not be required to obtain consent to suppliers of Materials, or to a subcontract for which the Subcontractor is named in the Contract;
(b) the prior consent of the Engineer shall be obtained to other proposed Subcontractors; and
(c) the Contractor shall give the Engineer not less than 28 days' notice of the intended date of the commencement of each Subcontractor's work, and of the commencement of such work on the Site."
4.5,Nominated Subcontractors,"In this Sub-Clause, ""nominated Subcontractor"" means a Subcontractor whom the Engineer, under Clause 13 [Variations and Adjustments], instructs the Contractor to employ as a Subcontractor. The Contractor shall not be under any obligation to employ a nominated Subcontractor against whom the Contractor raises reasonable objection by notice to the Engineer as soon as practicable, with supporting particulars."
4.6,Co-operation,"The Contractor shall, as specified in the Contract or as instructed by the Engineer, allow appropriate opportunities for carrying out work to:
(a) the Employer's Personnel,
(b) any other contractors employed by the Employer, and
(c) the personnel of any legally constituted public authorities,
who may be employed in the execution on or near the Site of any work not included in the Contract.
Any such instruction shall constitute a Variation if and to the extent that it causes the Contractor to incur Unforeseeable Cost. Services for these personnel and other contractors may include the use of Contractor's Equipment, Temporary Works or access arrangements which are the responsibility of the Contractor.
The Contractor shall be responsible for his construction activities on the Site, and shall co-ordinate his own activities with those of other contractors to the extent (if any) specified in the Employer's Requirements.
If, under the Contract, the Employer is required to give to the Contractor possession of any foundation, structure, plant or means of access in accordance with Contractor's Documents, the Contractor shall submit such documents to the Engineer in the time and manner stated in the Employer's Requirements."
